시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
66,V3WN5,2018,001,001,2.976,CLIVIA,USC2043,일진해운(주),WAE,01,정박지-E1,2018-12-26 23:00,2018-12-30 13:00,WAE,01,정박지-E1,2018-12-26 23:00,2018-12-30 13:00,접안대기,2019-01-02,허가완료
67,V3WN5,2018,001,002,2.976,CLIVIA,USC2043,일진해운(주),MBP,01,염포부두 01,2018-12-30 13:00,2018-12-31 14:55,MBP,01,염포부두 01,2018-12-30 13:00,2018-12-31 14:55,양하,2019-01-02,허가완료
68,3EGN,2018,007,001,9.531,SITC TIANJIN,KMC0629,에스아이티씨 컨테이너 라인스 코리아,MBO,05,정일컨부두,2018-12-29 09:45,2018-12-29 14:30,MBO,05,정일컨부두,2018-12-29 09:45,2018-12-29 14:30,양적하,2019-01-02,허가완료
69,130063,2019,001,002,149,13대신호,BSB2344,명성마린,MBU,01,SK2부두 01,2019-01-01 16:00,2019-01-01 18:45,MBU,01,SK2부두 01,2019-01-01 16:00,2019-01-01 18:45,적하,2019-01-02,허가완료
70,DSND9,2018,042,001,2.403,퍼시픽 삼부,BSK0104,삼부해운(주),MB3,02,3부두 02,2018-12-31 14:00,2019-01-01 08:30,MB3,02,3부두 02,2018-12-31 14:00,2019-01-01 08:30,적하,2019-01-02,허가완료
71,DSRN9,2018,038,002,997,,BSK2678,영산해운(주),WAM,01,정박지 01,2018-12-27 09:40,2018-12-31 05:00,WAM,01,정박지 01,2018-12-27 09:40,2018-12-31 05:00,접안대기,2019-01-02,허가완료
72,DSRN9,2018,038,003,997,,BSK2678,영산해운(주),MBL,01,가스부두,2018-12-31 05:35,2018-12-31 13:40,MBL,01,가스부두,2018-12-31 05:35,2018-12-31 13:40,적하,2019-01-02,허가완료
73,V7DB7,2019,001,001,7.002,GOLDEN PIONEER,KMS8831,흥아해운(주),MB4,02,4부두 02,2019-01-02 07:00,2019-01-03 23:00,MB4,02,4부두 02,2019-01-02 07:00,2019-01-03 23:00,적하,2019-01-02,허가완료
74,D7CO,2019,001,001,9.923,팬콘 선샤인,KMS8821,범주해운(주),MBC,02,신항컨테이너부두02,2019-01-01 06:10,2019-01-01 08:47,MBC,02,신항컨테이너부두02,2019-01-01 06:10,2019-01-01 08:47,적하,2019-01-02,허가완료
75,180017,2018,032,002,919,동명에이스,BSB2479,동명해운,MLJ,01,장생포호안,2018-12-29 19:30,2018-12-30 17:50,MLJ,01,장생포호안,2018-12-29 19:30,2018-12-30 17:50,기타,2019-01-02,허가완료
76,180017,2018,032,003,919,동명에이스,BSB2479,동명해운,MDS,02,S-OIL2부두,2018-12-30 18:40,2018-12-30 22:15,MDS,02,S-OIL2부두,2018-12-30 18:40,2018-12-30 22:15,적하,2019-01-02,허가완료
77,180017,2018,032,004,919,동명에이스,BSB2479,동명해운,WAM,05,정박지 05,2018-12-30 22:45,2018-12-31 08:00,WAM,05,정박지 05,2018-12-30 22:45,2018-12-31 08:00,기타,2019-01-02,허가완료
78,180017,2018,032,005,919,동명에이스,BSB2479,동명해운,MLJ,01,장생포호안,2018-12-31 11:40,2019-01-01 03:50,MLJ,01,장생포호안,2018-12-31 11:40,2019-01-01 03:50,기타,2019-01-02,허가완료
79,V7OH4,2018,015,001,2.696,,KMS8831,흥아해운(주),MDG,02,정일2부두,2018-12-28 13:10,2018-12-29 01:00,MDG,02,정일2부두,2018-12-28 13:10,2018-12-29 01:00,양하,2019-01-02,허가완료
80,V7OH4,2018,015,002,2.696,,KMS8831,흥아해운(주),MBG,07,일반부두 07,2018-12-29 12:45,2018-12-30 06:00,MBG,07,일반부두 07,2018-12-29 12:45,2018-12-30 06:00,급유,2019-01-02,허가완료
81,9V2137,2018,020,001,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MB7,01,7부두 01,2018-12-24 11:15,2018-12-24 16:40,MB7,01,7부두 01,2018-12-24 11:15,2018-12-24 16:40,기타,2019-01-02,허가완료
82,9V2137,2018,020,002,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MBD,01,S-OIL 4부두 01,2018-12-24 17:35,2018-12-25 16:50,MBD,01,S-OIL 4부두 01,2018-12-24 17:35,2018-12-25 16:50,적하,2019-01-02,허가완료
83,V7OH4,2018,015,003,2.696,,KMS8831,흥아해운(주),WAE,01,정박지-E1,2018-12-30 06:40,2019-01-02 06:00,WAE,01,정박지-E1,2018-12-30 06:40,2019-01-02 06:00,출항대기,2019-01-02,허가완료
84,9V2137,2018,020,003,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,WAE,01,정박지-E1,2018-12-25 17:20,2018-12-26 09:00,WAE,01,정박지-E1,2018-12-25 17:20,2018-12-26 09:00,접안대기,2019-01-02,허가완료
85,9V2137,2018,020,004,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MB4,01,4부두 01,2018-12-26 09:45,2018-12-27 02:25,MB4,01,4부두 01,2018-12-26 09:45,2018-12-27 02:25,양하,2019-01-02,허가완료
86,9V2137,2018,020,005,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,WAE,01,정박지-E1,2018-12-27 03:05,2018-12-27 06:00,WAE,01,정박지-E1,2018-12-27 03:05,2018-12-27 06:00,접안대기,2019-01-02,허가완료
87,9V2137,2018,020,006,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MBY,03,용잠부두 02,2018-12-27 06:50,2018-12-27 16:15,MBY,03,용잠부두 02,2018-12-27 06:50,2018-12-27 16:15,양하,2019-01-02,허가완료
88,9V2137,2018,020,007,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MBD,01,S-OIL 4부두 01,2018-12-27 16:55,2018-12-28 17:15,MBD,01,S-OIL 4부두 01,2018-12-27 16:55,2018-12-28 17:15,적하,2019-01-02,허가완료
89,3EEG9,2018,008,001,5.551,SILVER ATLAS,BSK2514,하나마린(주),MDW,01,유화1부두,2018-12-30 20:55,2018-12-31 07:25,MDW,01,유화1부두,2018-12-30 20:55,2018-12-31 07:25,적하,2019-01-02,허가완료
90,3FRM4,2018,003,001,12.979,SEACON RIZHAO,USC2043,일진해운(주),MBT,01,석탄부두 01,2018-12-27 17:30,2018-12-31 15:35,MBT,01,석탄부두 01,2018-12-27 17:30,2018-12-31 15:35,양하,2019-01-02,허가완료
91,9V2137,2018,020,008,2.652,PRINCESS IRIS,BSZ3212,(주) 이하해운,MB4,01,4부두 01,2018-12-28 18:30,2018-12-29 16:30,MB4,01,4부두 01,2018-12-28 18:30,2018-12-29 16:30,양하,2019-01-02,허가완료
92,9HA4857,2018,001,001,61.328,TOMAR,OST0078,유코카캐리어스(주),MBJ,01,자동차부두 01,2018-12-31 10:50,2018-12-31 22:00,MBJ,01,자동차부두 01,2018-12-31 10:50,2018-12-31 22:00,적하,2019-01-02,허가완료
93,CQLU,2018,001,001,24.341,SELINDA,BSZ7561,모리안인터내셔날(주),WAE,02,정박지-E2,2018-12-22 15:40,2018-12-23 13:00,WAE,02,정박지-E2,2018-12-22 15:40,2018-12-23 13:00,접안대기,2019-01-02,허가완료
94,9V5408,2018,004,004,7.411,,KMS8831,흥아해운(주),WAE,01,정박지-E1,2018-12-31 17:55,2018-12-31 21:30,WAE,01,정박지-E1,2018-12-31 17:55,2018-12-31 21:30,급유,2019-01-02,허가완료
95,CQLU,2018,001,002,24.341,SELINDA,BSZ7561,모리안인터내셔날(주),MBN,16,엘에스니꼬신항부두,2018-12-23 14:12,2018-12-24 19:30,MBN,16,엘에스니꼬신항부두,2018-12-23 14:12,2018-12-24 19:30,양하,2019-01-02,허가완료
96,9V5408,2018,004,005,7.411,,KMS8831,흥아해운(주),WAE,02,정박지-E2,2018-12-31 22:00,2019-01-01 07:30,WAE,02,정박지-E2,2018-12-31 22:00,2019-01-01 07:30,접안대기,2019-01-02,허가완료
97,9V5408,2018,004,006,7.411,,KMS8831,흥아해운(주),MDU,05,SK5부두,2019-01-01 08:00,2019-01-01 18:00,MDU,05,SK5부두,2019-01-01 08:00,2019-01-01 18:00,적하,2019-01-02,허가완료
98,D8MW,2018,020,001,1.912,태경레아,BSK3182,태경탱커주식회사,MB4,01,4부두 01,2018-12-31 14:45,2019-01-01 09:30,MB4,01,4부두 01,2018-12-31 14:45,2019-01-01 09:30,양하,2019-01-02,허가완료
99,DSFG3,2018,081,002,1.579,,BSK3182,태경탱커주식회사,MBU,01,SK2부두 01,2018-12-31 08:30,2018-12-31 16:20,MBU,01,SK2부두 01,2018-12-31 08:30,2018-12-31 16:20,적하,2019-01-02,허가완료
100,DSFG3,2018,081,001,1.579,,BSK3182,태경탱커주식회사,WAM,07,정박지 07,2018-12-30 09:20,2018-12-31 08:00,WAM,07,정박지 07,2018-12-30 09:20,2018-12-31 08:00,접안대기,2019-01-02,허가완료
101,DSDZ5,2018,041,001,998,제1알파호,USC0004,가나해운(주),WAM,05,정박지 05,2018-12-30 14:25,2018-12-30 22:00,WAM,05,정박지 05,2018-12-30 14:25,2018-12-30 22:00,접안대기,2019-01-02,허가완료
102,DSDZ5,2018,041,002,998,제1알파호,USC0004,가나해운(주),MBD,02,S-OIL 4부두 02,2018-12-30 22:50,2018-12-31 23:25,MBD,02,S-OIL 4부두 02,2018-12-30 22:50,2018-12-31 23:25,양하,2019-01-02,허가완료
103,LAMY7,2018,002,001,32.474,SPAR SPICA,USC0002,신양상선(주),WAE,03,정박지-E3,2018-12-25 07:30,2018-12-25 15:18,WAE,03,정박지-E3,2018-12-25 07:30,2018-12-25 15:18,급유,2019-01-02,허가완료
104,160064,2018,032,001,2.458,제1은희호,USZ2313,광산글로벌(주),WAE,01,정박지-E1,2018-12-21 22:50,2018-12-25 07:00,WAE,01,정박지-E1,2018-12-21 22:50,2018-12-25 07:00,접안대기,2019-01-02,허가완료
